gene	logFC_DE_Calu3ser2_S2.12h_mock.12h	logCPM	PValue	FDR
IFNL3	8.24840210510408	1.85713676699053	1.92662543929385e-61	5.52431511990463e-59
CXCL3	3.22159762770478	4.89249173350645	2.76722055610027e-60	7.70789520040615e-58
DUSP1	3.14964151826959	5.3590441293935	5.59000947500968e-59	1.51380562144082e-56
IFNL2	11.9847212888432	2.44833056752811	7.64833915937862e-59	2.01523401256168e-56
EGR1	2.97963673299631	5.47270216071718	3.15223676387805e-58	8.08714637132819e-56
DDX60L	3.47780613811325	5.24588687723562	4.2301404276218e-58	1.05742664176628e-55
MX1	4.44303527199439	7.05508154220323	1.5714039031132e-57	3.82990416286264e-55
PPP1R15A	3.77536517862264	7.34580451049083	1.77215996109439e-57	4.21385060017299e-55
BATF2	4.56949005162403	3.2380475745502	1.88814971245779e-57	4.38275513017881e-55
IFI44L	3.98201772257992	5.2210945804111	4.3013747804919e-56	9.75211691511989e-54
SP110	2.48796401340554	5.18040847409375	1.60220780903695e-53	3.5499827114321e-51
IFI44	2.99539626587554	6.41643228255639	1.71183229305897e-53	3.70858956111821e-51
CXCL11	6.58587444086384	2.24748353407266	3.14954866570874e-53	6.6749891178249e-51
TRIM21	2.09896700231685	6.0167032030073	3.63159612030296e-52	7.53285756953905e-50
LAMP3	4.46292372666792	3.73316023294282	4.65024969774821e-51	9.44485089653068e-49
MB21D2	2.61130421431131	4.82420137563054	1.16341598303414e-50	2.3147229425714e-48
RTP4	4.04080874385104	2.97242537840047	9.20990140182658e-50	1.79574657532815e-47
TAP1	2.98665248266137	6.83847832757594	9.91589289696805e-50	1.89549097750081e-47
BCL3	2.69537600052665	3.85448995974692	1.86102019253433e-49	3.48905497250331e-47
PARP12	2.3872059309542	5.84093937026805	6.44769317109086e-49	1.18601057971632e-46
DDX58	2.50025152975885	6.53955147128788	2.12488966882197e-48	3.83621284839729e-46
C19orf66	2.25909607318589	5.02696678335988	6.74640911247111e-48	1.19583168068147e-45
PARP10	2.35231925395277	6.56226894968182	2.95139239890928e-47	5.13805794588689e-45
DUSP8	2.60760488183398	4.20338462525365	4.25502933960689e-46	7.27759316347852e-44
THEMIS2	3.26356068881092	2.72620199074067	8.34444783692154e-46	1.40258658555428e-43
DDX60	2.95739999073618	4.76486780613438	7.73589081923988e-45	1.27825762028423e-42
PARP14	2.81376818887502	6.2235118842595	1.9068909807216e-44	3.09838002850914e-42
TIPARP	2.7900348471413	7.37819908877297	6.02266195441359e-44	9.62539858911116e-42
FAM46A	2.84827976945623	4.3458825891645	7.64717519692378e-44	1.20245662894855e-41
UBE2L6	2.33156531827295	5.50745515721586	3.38924669010216e-43	5.24472475901682e-41
ZC3HAV1	2.25400880877168	6.11473819601159	4.21323080713945e-43	6.41793549043788e-41
SAMD9L	3.76755843923669	5.66499394223232	6.9201383845764e-43	1.037914294019e-40
NCOA7	2.32568530624411	4.90162904171335	7.87031390273997e-43	1.16254076117897e-40
EPSTI1	4.01256009899199	2.9636587902344	8.0611254303592e-43	1.17295390776973e-40
IFITM1	2.82789632237976	5.02132504530385	5.64987884381476e-42	8.10009836005148e-40
EGR2	3.711258125992	2.34794472752562	8.00835495478347e-42	1.1314993109302e-39
IFI35	2.2075791852703	5.51374209941341	8.69106136798347e-42	1.21041653252101e-39
ZFP36	2.48693849198279	5.39325816248936	1.324023147905e-41	1.81801431956701e-39
JUN	2.84498441175705	7.94382728226186	5.25900453717424e-40	7.12083822679329e-38
PARP9	2.0079993584876	6.33960131082909	4.89335126899861e-39	6.5349700714339e-37
DTX3L	2.33271680269129	5.95675990058557	7.05286357883794e-39	9.29167122028258e-37
GBP4	4.54475167198038	3.24673944362385	2.01234630369971e-38	2.61578188196913e-36
SAMD9	2.55562370204559	7.66818871033689	3.25501028386251e-38	4.17540727070732e-36
CX3CL1	3.59825108048529	3.68883464903636	5.71722472479636e-38	7.23860049896619e-36
TNFSF10	2.62682806975634	6.04079363411712	3.38203814962735e-37	4.22711409239962e-35
TRANK1	4.02772347963474	3.74733072932884	1.04892763462452e-36	1.29442981138664e-34
STAT2	2.17935392890849	5.72053093201341	5.52897954582236e-36	6.73775269902778e-34
INHBA	2.20666592876868	3.92524208318044	2.44569959641038e-35	2.91319287372755e-33
CCL2	5.12382339645548	1.29542530347234	2.45032121905487e-35	2.91319287372755e-33
HSH2D	2.65016161102913	4.55490707795151	8.0324429423577e-35	9.43473328253556e-33
DHX58	3.39926548451301	2.56717840637948	1.26711204307719e-34	1.47060420332851e-32
ETV7	4.91534690253901	1.73759035575109	2.05764079018283e-34	2.35999294864616e-32
CCL5	4.81221529254984	1.10647234248378	2.14447127507425e-34	2.43098261170917e-32
RELB	2.43089953396467	4.59255828977662	4.38598461453635e-34	4.91482344909366e-32
PMAIP1	1.94925034291324	5.47431877904215	6.75805374184356e-34	7.48684840104919e-32
IL1A	2.54409570209666	3.55778737069948	1.27572379776392e-33	1.39741924768545e-31
IRF9	2.0410260463813	5.49088942480135	1.56743330429919e-33	1.69787858706809e-31
STAT1	2.33683536073396	8.1076996960741	6.04477878462295e-33	6.4758844364054e-31
CD274	3.19496204883387	3.58750984830289	9.73303672348151e-33	1.03138451105675e-30
LOC100419583	1.85624980634135	4.36653605606351	1.16361224468735e-32	1.21979094338247e-30
ICAM1	2.72719649220277	5.56305732175714	2.98677910360651e-32	3.09767122138935e-30
PNPT1	1.82536687240696	6.55447396816941	3.60346402315063e-32	3.69791271175742e-30
TRIM14	1.96671283170291	4.52625754644997	1.06979855362626e-31	1.08640271867734e-29
BST2	4.16287494714529	0.75855369609311	1.21632843293231e-31	1.22247277243888e-29
TDRD7	1.98020624362842	4.70187617360517	1.71279493846507e-31	1.7038814137853e-29
MIR155HG	4.22478913910857	1.67507948786699	1.79754074436676e-30	1.77012370877087e-28
PIM3	1.97207064549803	6.27666334021697	1.36027509798448e-29	1.32613219302507e-27
NFKBIZ	2.21492548889625	6.74870334997371	1.38754383353763e-29	1.33932325080776e-27
CLK4	1.74542646209226	4.26021814136892	1.50979319969299e-29	1.44303665723597e-27
LGALS9	2.19708274521555	4.796492954075	2.13644326802433e-29	2.02215392426886e-27
HERC6	2.22870187755677	4.27891251643844	2.85134538427387e-29	2.67286212993134e-27
N4BP1	1.6726634584201	5.43648565072905	5.0277537086977e-29	4.66814961010418e-27
IDO1	5.31244836272939	1.74645191605049	1.16979149400851e-28	1.07587710142348e-26
MAP3K8	2.61808382790316	3.35445036132104	3.29351208866997e-28	2.99943801373596e-26
SLC25A28	1.95310039548624	3.85482059385523	3.32279521472442e-28	2.99943801373596e-26
PML	2.04243440421854	6.11972260047512	7.95861322859863e-28	7.11821287757872e-26
FOS	2.76757703564811	2.88922376482627	1.86773852119559e-27	1.65532571301235e-25
ANGPTL6	2.30431344732093	2.85071059886001	2.67949540485502e-27	2.35336943260645e-25
ZCCHC2	1.78424519044287	5.11778604246532	2.71398725391816e-27	2.36238051236145e-25
SERTAD2	1.76566581409746	4.77732272358266	5.84206212479921e-27	5.0402003234219e-25
KLF4	2.14773374636451	3.52981411629346	1.73778159044094e-26	1.48610813379024e-24
TLDC2	2.57330672945532	2.64460955058167	1.86445611254084e-26	1.58057240357919e-24
TRIM38	1.69568981515389	5.68509238325875	4.37068589272637e-26	3.67326006622322e-24
FOSB	2.54381441104055	3.27668965292046	4.58352714320128e-26	3.81921419821105e-24
EPC1	2.0571759346183	4.96708181527422	1.20357980062085e-25	9.94381311546835e-24
ADRB2	1.70764592690222	4.45554897352175	1.81684435412321e-25	1.48843828641573e-23
TXNIP	1.71765460943609	7.67328220032129	2.87096101224015e-25	2.3324165756941e-23
ZC3H12A	1.63299039592721	5.5098767411931	3.09040829480502e-25	2.48994962529373e-23
SAMHD1	2.43667318049397	5.6195021738327	3.28670425183985e-25	2.62639997960547e-23
KLF6	1.69739554910919	7.76222095610191	4.28820456359056e-25	3.39883790979223e-23
ETS2	1.73866459137812	7.56966778462455	4.62820469206252e-25	3.63873931797722e-23
OGFR	1.89227462986128	7.39615119453601	5.16547914015635e-25	4.02866049099074e-23
HIVEP2	1.97400901809456	4.86343989229424	6.180640164449e-25	4.78214769549312e-23
IFITM3	1.77812059652544	6.24811703223889	1.01007887950327e-24	7.75374724116331e-23
CYP1B1	1.87479859852378	6.28425780158636	1.04577006050609e-24	7.96500962490145e-23
ZNF627	1.72806985656127	3.97993751473163	1.3013948435318e-24	9.83511498417949e-23
PHF11	1.89855154253765	3.33538170731686	1.70258249827666e-24	1.27680590582301e-22
CSF2	4.42846393655215	0.550963482211889	3.01386038710904e-24	2.24291029877298e-22
PSMB9	2.17020314073332	5.66208352196796	3.64679510875974e-24	2.69337920570445e-22
RND3	1.48933720033764	6.52415213956031	7.49868264798307e-24	5.49659076204413e-22
MT2A	2.57948895856305	3.61543958844841	7.5565229330257e-24	5.49765239358713e-22
LTB	2.51331130260766	2.10894610703734	1.46994662144509e-23	1.0615192305532e-21
RSRC2	1.42184148432857	6.27072355238299	2.41117777253148e-23	1.72842441944187e-21
ZNFX1	2.63924657803651	7.32244509418602	2.76741226065407e-23	1.96930672475303e-21
FRS2	1.57230081768971	4.92750795945468	1.58765570495824e-22	1.1215982222926e-20
CCNL1	1.67413576041392	7.39259324580704	1.61470710000826e-22	1.13250212359572e-20
IFITM2	2.08770423824079	2.48682994335368	2.9176744493057e-22	2.0317434433058e-20
PTGS2	1.71412557025031	4.95851731034373	5.71156800776214e-22	3.9490834402605e-20
HELZ2	3.62293406872772	7.52390120388048	7.38335372888311e-22	5.06903630301982e-20
LAP3	1.44530155781164	6.2578062166536	8.34960726649188e-22	5.69233015671534e-20
IRAK2	1.49887300751002	5.67516134224568	9.992194372651e-22	6.76485437076212e-20
RND1	2.26031802450722	2.14648339467789	1.00930430074119e-21	6.78600526063851e-20
HLA-F	1.52179556280725	5.06065693553952	1.15550000681018e-21	7.71573257972084e-20
NT5C3A	2.12319850873558	6.71082387834835	1.34220558365886e-21	8.90147090822463e-20
CYLD	1.44503002585531	4.59659442931916	2.28277278665072e-21	1.50369945250391e-19
TMEM140	1.33596189242571	5.18537440906263	4.15113526859005e-21	2.7160683042607e-19
DUSP16	1.44387714985456	5.03436361791566	5.79972204609161e-21	3.76943268182314e-19
BIRC3	1.54685180894	5.69857443365336	7.19713946354627e-21	4.64668295563659e-19
PLEKHA4	1.63887655014877	5.23998326236561	1.12864086254689e-20	7.23889458484843e-19
HIST1H3D	2.51488572663831	1.90957435745047	1.20626212095187e-20	7.68617608964694e-19
CSRNP1	2.32592043582209	5.2645705124324	1.25124696290697e-20	7.92104327362343e-19
AMOTL2	2.08239449481946	6.96124786659615	2.11802994278182e-20	1.33217251046322e-18
SPRY2	1.77542813308367	3.96182413876146	2.31397644464784e-20	1.44608694608152e-18
KLF10	1.33668496734819	6.10344761845821	3.15165508991837e-20	1.95703729118562e-18
DUSP10	1.61778471991467	4.8064646741595	4.01587796466484e-20	2.47789837199478e-18
ZFX	1.44625924541438	5.03921897409277	4.21760430254926e-20	2.58600153116684e-18
GDF15	2.01849553871728	4.00920682312151	5.56167176559294e-20	3.38879612767285e-18
PER1	2.25431817151214	3.5031237463722	7.92153978282786e-20	4.79671374799931e-18
BHLHE40	1.41892568928169	7.22926377437869	8.72757064151967e-20	5.25216581383798e-18
SP100	1.4972744551448	6.49904993989262	1.50115325877574e-19	8.97837001215013e-18
RBBP6	1.30570629349439	6.01713863138179	3.11265279267929e-19	1.85032024852624e-17
TNFAIP2	1.8638333139904	5.48259759828378	3.68795066037906e-19	2.17902005988094e-17
RNF19B	1.50842121732878	4.66393542657037	4.18806518729754e-19	2.4596052717448e-17
RIPK2	1.28585870861933	5.6196054599881	4.86767597254068e-19	2.8416151530718e-17
PRKD2	1.9032870691445	6.1456843487639	5.4041437915267e-19	3.13601177521392e-17
RCAN1	1.29597926113207	4.51276116529929	6.15183466967371e-19	3.54358886492701e-17
DAPP1	1.38819942814169	4.37789404050979	6.17919896438189e-19	3.54358886492701e-17
NR3C1	1.31740021793072	6.37233855899513	6.37292529872301e-19	3.63331279165208e-17
RASGEF1B	2.39808343454508	2.74619505260197	6.46482309972722e-19	3.66427676739772e-17
CYR61	1.59861624654803	7.76728145708791	6.98092921163877e-19	3.93393519562233e-17
NOCT	2.02573415750554	2.92891860472996	7.97363655027063e-19	4.46752774302232e-17
TLK2	1.27756637701103	4.72870589141891	9.43656998587661e-19	5.2569783309892e-17
DYRK1A	1.46552686780477	5.06533857253013	9.74831046567963e-19	5.39978856419947e-17
ZNF267	1.29966728868635	4.70085862607281	1.13390935514897e-18	6.24547022787983e-17
TSC22D2	1.8938195339381	5.8042590712166	1.37832786218753e-18	7.54905524071138e-17
MYD88	1.48071283868264	5.9580694673212	2.73068461271404e-18	1.48723152454465e-16
CCL20	2.40706577261523	3.63932737329106	3.36896091096923e-18	1.82466666227995e-16
CHD2	1.38761025563118	6.82938885511527	3.72842934684447e-18	2.00820208300479e-16
UBA7	2.58571234759684	2.82763589026616	6.17783809142041e-18	3.30373371186923e-16
SOX9	1.36722574568455	8.1925415073257	6.20149009408216e-18	3.30373371186923e-16
STX19	1.89267205477067	2.33058730341025	9.55424315181606e-18	5.06219111342689e-16
GATA6	1.26238109722663	6.11394575677095	1.22862461526016e-17	6.47451966171424e-16
OAS3	2.96444144456315	7.09124467173752	1.6427613940607e-17	8.61036603800957e-16
SETDB2-PHF11	1.44723673538266	3.90056128458008	1.92816765180026e-17	1.00522494317651e-15
RNF213	2.61750566158107	7.22170212856536	2.02426636875173e-17	1.04971132068939e-15
TICAM1	1.50544770727553	3.77610718445657	2.21263949086497e-17	1.14132393631971e-15
SLFN5	2.15551016943769	5.5761870432134	2.61224513100578e-17	1.34035672537765e-15
EIF2AK2	1.58270245316817	5.66764869488967	3.14315283958114e-17	1.60432445199354e-15
PRR15	1.15966671460086	5.57012456915661	5.17943628476747e-17	2.62991272605198e-15
ZC3H4	1.36196028929632	5.49059656258746	6.39481315980471e-17	3.23020898937493e-15
PTGER4	1.20710622667723	4.57222274706238	7.04785902916884e-17	3.54173080800861e-15
MOB3C	1.59226308430513	3.35201655780525	8.96432507260585e-17	4.48170282732484e-15
SPATA2	1.31225305237895	4.31265820919711	1.05071458898715e-16	5.22623292246721e-15
ISG15	2.90368346648143	6.5979235715585	1.15736048437928e-16	5.72746566609828e-15
TRIM25	1.48412342997615	6.94736112720077	1.26454885290987e-16	6.22630644798907e-15
NEDD9	1.19342351775392	5.64170575226134	1.69443138982389e-16	8.30101086401662e-15
ZNF217	1.38023861964933	6.45215728109925	1.8419985107257e-16	8.97882174053242e-15
RICTOR	1.46138060521569	5.24343538900759	1.93024086258894e-16	9.36214834297493e-15
NFKBIE	1.38035808040417	5.55503444357898	1.95087671764633e-16	9.41539461402675e-15
IER3	1.54841148724607	8.67255654393071	2.18800848706175e-16	1.05078299213621e-14
FILIP1L	1.49033617561875	3.7599597407848	2.38407378018886e-16	1.13933016093437e-14
OPTN	1.49263510733059	5.71858079791886	2.62138551475534e-16	1.24662865284633e-14
GBP3	1.31387707075611	6.25191662008716	2.63783512882628e-16	1.24836187722948e-14
JUNB	1.32474339381525	7.91602900561068	3.09380922434896e-16	1.45707952310039e-14
OVOL1	1.21280691855591	3.94982882572214	3.63039004054929e-16	1.70157079352476e-14
ELF3	1.40576909237008	8.39275620620695	3.91282716361005e-16	1.82517473770499e-14
MIER1	1.24113940210142	5.05483009682015	5.04256985512413e-16	2.34095302464786e-14
CXCL8	1.6437627807786	8.09434287278771	7.83496833827404e-16	3.62005243269354e-14
FBXW7	1.35687363638289	4.32272049518837	1.06531799182772e-15	4.89895523694736e-14
PLAUR	1.33010596510654	5.54702058380424	1.94805489908465e-15	8.91623812731278e-14
KDM6A	1.14345546261552	4.95950308501817	2.82765955508935e-15	1.28817070105449e-13
XRN1	1.54765947444522	5.59251724622291	3.0151068681754e-15	1.3671756678066e-13
TBC1D22B	1.35299087309921	4.54317134050366	3.11853814213532e-15	1.40752909017024e-13
BBC3	1.92306888725113	2.60080329960723	3.20229569324517e-15	1.43867192227867e-13
ARID4B	1.3533470371793	5.6503000362635	3.74262937776173e-15	1.67371072494491e-13
TRIM5	1.29978508098554	5.55345212892279	4.25473361065407e-15	1.89403643699847e-13
SP140L	1.28515229900755	5.19978006809374	5.2793971387036e-15	2.33949285023733e-13
IL15RA	1.47897893369865	4.30589137370961	7.38517086664595e-15	3.25782944701047e-13
ZNF473	1.14797237063677	4.84342527842829	7.8444908907945e-15	3.44486223848449e-13
SLC15A3	2.33119755186759	2.11949207825173	8.11924335718809e-15	3.54952930444963e-13
DCLRE1C	1.34401599084022	4.2129598842962	1.04272812779646e-14	4.53819487405702e-13
C5orf56	2.71695053643968	0.830282627678703	1.0858775295604e-14	4.70498668252639e-13
ZNF324	1.20332876337006	4.56161650110955	1.12384589290356e-14	4.84795292474196e-13
CXCL1	1.69678775084109	6.5728063182456	1.22656594758953e-14	5.26774952557283e-13
ZNF140	1.14826826551133	4.31301088637371	2.16854215205546e-14	9.27241992999503e-13
NEURL3	1.23221737372119	4.81822354877183	2.95786353544161e-14	1.25922321428036e-12
SERPINB9	1.15561723029692	4.7083623634133	3.00353585558686e-14	1.27310743722245e-12
APOL2	1.24756260425893	6.82729668370251	3.02070087626358e-14	1.27484038280059e-12
DCP1A	1.23487079790905	4.86726659946447	3.08694781916422e-14	1.29718337452724e-12
NFAT5	1.26714406919705	5.27326534500366	3.37184062306086e-14	1.41081863666182e-12
USP42	1.29803129947092	4.54941155322074	4.63000571251448e-14	1.92897118338905e-12
CASP7	1.09728460871731	4.81552530780302	4.67787174364654e-14	1.94062006931107e-12
ZBTB17	1.08387316172287	4.1675004897616	6.63338879108647e-14	2.74020793747042e-12
TRIB1	1.16430042449162	5.28097288520418	8.30920177752907e-14	3.41799190418274e-12
HIST2H4B	1.37539390038701	3.31285449318755	9.71772656423817e-14	3.97808186007649e-12
HIST2H4A	1.37539454514833	3.31285449318755	9.75240090838323e-14	3.97808186007649e-12
DNAJB4	1.30959338421739	4.24949824772508	1.05566962245408e-13	4.288217978877e-12
CPT1B	1.1426462558177	5.04334210986414	1.12209678870179e-13	4.53913759047872e-12
YOD1	1.18199077514729	5.62360501689093	1.22036371461251e-13	4.91625035279231e-12
STC1	-1.36365677467193	4.73665800279251	1.23237536548618e-13	4.94420882227355e-12
NEDD4	1.54566521335901	5.5752974246673	1.61176369490205e-13	6.43978863180331e-12
HIST1H4E	2.98818582592821	0.176164365735477	1.67978443921121e-13	6.68417081545718e-12
PELI1	1.26769142958022	5.17869386566325	1.72546207460054e-13	6.83802022978889e-12
SNIP1	1.24333011831407	4.63842880494602	1.7508512942937e-13	6.91054626237624e-12
CCNT2	1.11169996853758	5.55649427152835	1.77006437302467e-13	6.95820869863609e-12
CCDC174	1.12785909980814	4.2614501217942	1.92084695318506e-13	7.520617247631e-12
ZNF274	1.13507873246433	5.65167445420265	2.09642408627708e-13	8.15224430391341e-12
ZNF184	1.23869920227325	4.41820466666727	2.0988955998382e-13	8.15224430391341e-12
ISG20	2.02245314431317	5.44292525493442	2.36591057679566e-13	9.15288183062733e-12
MAP3K1	1.14338687579669	5.09539763773903	2.45906413308212e-13	9.47565859028362e-12
RLF	1.12945051105336	4.73064703644857	2.89382332545117e-13	1.11070407873321e-11
PPM1K	2.17042207834281	3.60685417464543	3.67455322628634e-13	1.40483213345355e-11
IFI27	1.90699566250873	3.78867967280422	4.04756352123648e-13	1.54139440502088e-11
HES1	1.59052876255225	6.86137904394255	4.14956552590683e-13	1.57409005105314e-11
PIM1	1.03239232013077	4.84870818374608	5.21211153154924e-13	1.96949129151448e-11
PARD6B	1.71378044023795	5.2793793479526	5.35258941354306e-13	2.01476425454175e-11
AGAP6	1.21148093493039	3.89001596267383	5.65848965124233e-13	2.12171598499852e-11
NFKB1	1.2173211440985	5.06009893497194	8.25244692376318e-13	3.08249444673438e-11
RUBCN	1.06324243219726	4.42051368087091	8.56034203511792e-13	3.18529673665514e-11
USP25	1.07324110415784	4.76054907540845	9.63465405689203e-13	3.57141606086085e-11
DLC1	1.14054004904066	5.64519570150487	1.04108635137365e-12	3.84452683315973e-11
LOC284454	1.09583207030577	3.89747208766454	1.08328197763244e-12	3.98525132073156e-11
CDK17	1.00361822265868	4.7449835018547	1.19473902907438e-12	4.37876345655870e-11
ZNF564	1.41783092178935	3.21551714872339	1.51322467364727e-12	5.5252536866619e-11
VTCN1	-1.1637666225303	4.43565315639381	1.70586176616256e-12	6.20539043220849e-11
YTHDC1	0.993542893979924	6.23703649014133	1.74732264749592e-12	6.31830657866402e-11
SNRK	1.01707727373262	4.96314138533964	1.74986437197588e-12	6.31830657866402e-11
MAP3K14	1.4733456398934	4.3160298850982	1.887846180421e-12	6.79136989406801e-11
EPC2	1.17430285964815	4.3844542213656	1.90038012209767e-12	6.81132566556258e-11
TFAP2A	1.02535372687037	4.73145109979613	2.21021252831955e-12	7.8928065709111e-11
PTBP2	1.03704355002384	4.27481270747255	3.08676922310842e-12	1.09828150204686e-10
ARID5B	1.41135141330836	4.11369902509388	5.75643376247094e-12	2.04070810001197e-10
IL32	1.06546178589777	4.80708968563752	5.78706649701735e-12	2.04413446664573e-10
ZNF613	1.43971989608831	3.01808908731436	6.53386199273042e-12	2.29958919014906e-10
IRF2	1.15760225366208	4.04765971262035	7.7556775997218e-12	2.71978780286647e-10
AGAP9	1.12360833953159	4.33751974509082	8.7306647312767e-12	3.05072582312604e-10
HIST2H2BE	1.68289478467114	2.3865184918552	9.92614671586765e-12	3.4560715833212e-10
ABL2	1.0349929743336	5.2892280920368	1.01863046523249e-11	3.53403146105038e-10
KMT2E	1.36907937362297	4.96664998857391	1.11831096198357e-11	3.86610410226165e-10
INO80	1.10091286621089	5.01489471663997	1.16414290493903e-11	4.01032833224402e-10
AGAP7P	1.26019915066005	3.22027969738308	1.22954020850476e-11	4.22069982137777e-10
TRIM31	1.19843844593019	4.11687885859219	2.02589479452309e-11	6.92998187782653e-10
B3GNT5	0.951113764262194	6.04648089325306	2.22927274180167e-11	7.59901397196659e-10
HDAC9	1.03519288263855	6.18356992370104	2.76303616623059e-11	9.38565839184043e-10
CREBBP	1.25514827242954	5.68180511219084	3.89422388105118e-11	1.31822182695722e-09
ZNF292	1.02978820349462	5.3215763453908	3.93388459771553e-11	1.32703947900099e-09
TRIM56	1.1400407748748	4.57011426158409	3.94936617995994e-11	1.32766796166998e-09
HIST1H2BG	2.08960655727943	1.15266519737663	4.03031000231402e-11	1.35022310008795e-09
SEMA3A	0.970244495224037	4.93820348441536	4.20691516384253e-11	1.40456218946236e-09
AGAP5	1.33294690572941	3.01995065382246	4.27686328581301e-11	1.4230423267369e-09
RBM5	0.957118229374513	6.12937460076878	5.18763418604209e-11	1.72021243808586e-09
IFI6	1.94329728166978	7.72440148135226	5.80720753907912e-11	1.91913445079601e-09
ARAP2	1.132483109869	4.32145396247261	7.01755086675108e-11	2.31128727702555e-09
ZNF224	0.959311199855695	4.5804934358394	7.09458695298625e-11	2.3287921954432e-09
LCA5	0.93964378150776	5.06232224859705	7.19803897244629e-11	2.35482154169057e-09
GADD45B	1.24802043120487	5.10302827446598	8.03620512982999e-11	2.62023290336831e-09
CWC25	0.932163550015876	6.03357056409245	8.34813600518696e-11	2.71286593048559e-09
ZNF16	1.09349110097093	3.70749006461119	8.50411390193062e-11	2.75437230664191e-09
AGAP4	1.10360215813377	3.81638187006775	8.77405682100277e-11	2.83239337576013e-09
ZNF408	1.00393531845561	4.14895425692859	9.37949758152536e-11	3.01784560799639e-09
CLK1	1.00260536732249	6.13747092132645	1.01919795172798e-10	3.26847395769607e-09
PNRC1	1.22121543557227	5.24661373937869	1.24019581003999e-10	3.96415375478029e-09
HIRA	0.944044882857021	5.33168651321394	1.56921951472731e-10	4.99945132322764e-09
FAM83B	0.944972138967363	4.7218466943494	1.74342935991612e-10	5.53638202925807e-09
GPBP1	0.931070607015006	6.85196989211855	1.93482980781843e-10	6.12357258674846e-09
RSF1	1.04063985488614	6.17952540850068	1.94090053267543e-10	6.12357258674846e-09
ZNF416	1.22597633923739	3.16721854990343	2.01647468675929e-10	6.34148765200528e-09
IER2	1.20434468439377	6.79847381702772	2.14469954263253e-10	6.72304689425226e-09
BAZ2B	0.996734359982331	4.74901189242461	2.2438452302294e-10	7.01129716330333e-09
NFKB2	1.32231089535837	5.34916670342694	2.5184534075418e-10	7.84421797767572e-09
EDN1	0.885480255142892	5.54638353048324	2.78707811571486e-10	8.65325622614783e-09
ADAR	1.26171047515954	7.81022546211264	2.91588398440456e-10	9.02442951236827e-09
USP9X	1.00356227986745	7.13105027406785	2.95476410994917e-10	9.1158212999666e-09
SOCS3	1.36989368398744	5.79700362523662	3.62181816619676e-10	1.11385190227925e-08
ZNF764	1.1495834100052	3.22570295879877	4.40822520584403e-10	1.35143985948973e-08
