gene	logFC_DE_Calu3_S2.24h_mock.24h	logCPM	PValue	FDR
NMI	2.46968882753948	5.27270065097853	1.96065620007067e-212	1.88041758079047e-210
TIPARP	2.79221735138866	7.71258619853733	3.72414874883913e-209	3.54197580587509e-207
RASGRP3	4.61028744622592	3.32743505178436	1.68557594599934e-207	1.5898742373298e-205
LGALS9	3.15815998114599	5.54233787133461	2.34920956315272e-205	2.19766629051328e-203
IL1A	5.17802393504921	3.02284570136585	1.47912262477808e-203	1.37245744037335e-201
LOC100419583	2.40206605249079	4.05019078573052	1.93073576216331e-203	1.77705542367499e-201
UBA7	3.22677190271559	3.7168707913207	1.04719236409557e-202	9.5612851611382e-201
PRKD2	1.9776353738254	6.25247991643363	9.82141720910589e-201	8.89617734980361e-199
UBE2L6	3.09685703870838	5.90141513869799	1.80942927313265e-200	1.62606427513881e-198
ZBP1	7.27949699345127	1.63813745791769	4.2569409641357e-200	3.79566150185006e-198
TMEM27	2.04696806710573	5.41965904809211	1.35331769041405e-199	1.19731897679811e-197
HLA-A	1.91967714731018	9.03793622969121	6.65977258139944e-197	5.84676803627014e-195
TRIM26	1.61636142948209	6.58262708580288	5.21254885307334e-196	4.54128397405542e-194
FST	3.12967297917166	3.44094171663476	3.22363437191733e-193	2.78722265808276e-191
SP100	1.70752146504261	6.41686806064365	1.06832234182207e-192	9.16749089264305e-191
APOL1	1.57686304316742	8.20735070751828	8.65799430800191e-191	7.37415589830043e-189
OTUD1	4.63937642391851	3.83261124276738	3.77834888693712e-190	3.19424413678618e-188
ADAR	1.31381681488778	8.88675907620959	5.80509851124039e-190	4.87158744917549e-188
SLFN5	2.4493278489603	5.85346484952485	1.13568071590369e-187	9.4609664311013e-186
HLA-DRA	2.14530543220091	4.84082026827688	7.69605409548409e-186	6.3648598109971e-184
C19orf66	2.36441530802018	4.49612171131777	8.54190678186112e-186	7.01358144614251e-184
APOL2	1.92439550258998	6.46517561712972	1.36866440424374e-185	1.11575477468813e-183
TEP1	2.09328925287693	5.1587546974418	1.89340412820716e-185	1.53258307200201e-183
CH25H	9.76749164511792	2.71298168495429	5.44024137209155e-184	4.37249822392119e-182
SLC1A3	4.73460121630992	6.45634311808913	2.75493745982202e-183	2.19874833768872e-181
APOL3	5.30909083455356	1.87441683534008	2.98560928113787e-181	2.36630268927962e-179
DDX60L	3.03492543484602	6.25107721784984	1.08618516264453e-180	8.54940086983588e-179
NFE2L3	1.43964702700538	7.7392241651544	1.06209987819916e-178	8.30256569170342e-177
TPM1	-1.33978521656751	8.62907975421366	2.5022688731995e-178	1.94274793536231e-176
SEMA3A	2.34767480642435	5.80560126251329	1.82412740131272e-177	1.40667338048527e-175
VIM	-1.87943695461134	8.30875362224898	8.86743725844337e-177	6.79221888796068e-175
MYD88	1.87170202070443	6.07318752320405	1.20711449281789e-172	9.18453180435373e-171
IFI44	2.46705726423293	6.31051827268684	4.68461408520158e-172	3.54076162611958e-170
TRIM21	2.35744111079575	5.18471705363536	5.4208411784096e-172	4.07026712955189e-170
DDX60	2.3589064857738	6.13862546183032	5.69233757109959e-172	4.24618618947449e-170
DUSP1	3.21713284480154	5.85820032073429	2.1046639193021e-168	1.55977463058408e-166
BBC3	4.83434002122446	3.50660720941783	2.59185299508078e-167	1.90843988599077e-165
HERC6	2.44546906438334	5.36336076684539	2.25938442987958e-166	1.65297144219331e-164
RGAG1	10.3014906312369	1.44250763705893	2.2986883986374e-166	1.67101469386297e-164
TRIM5	2.58198299659475	5.4641962948039	7.51066328907082e-166	5.42526583026362e-164
MOV10	1.6660868462063	6.08161509158649	2.26821865698081e-165	1.62812449887559e-163
MCL1	1.18913117508014	8.66829825932027	1.70687473273605e-164	1.21753508279478e-162
KLF6	2.20100034169405	8.19861446922746	2.44487561472085e-164	1.73312828514342e-162
EIF2AK2	1.63342479583078	6.67982859061167	3.14689750267824e-164	2.21700871593005e-162
HSPA5	0.948841722174262	9.66196348628435	2.22077223043588e-162	1.55494929239048e-160
NUAK2	3.03666777867445	5.79481907924928	1.4477974944248e-159	1.00754346365063e-157
MLEC	-1.20867311154448	8.11647526338977	3.32284260552874e-158	2.29840016102421e-156
B2M	1.51591389607858	9.1601945980472	9.18570546228644e-158	6.3154491831973e-156
PIK3AP1	1.235596796722	7.08437883864101	3.22469745470229e-155	2.20380072158786e-153
NFKBIZ	2.72456600213451	6.80594233574804	2.31541801025351e-153	1.57296819946567e-151
RARRES3	2.49885963215443	5.46342072597324	1.64254513489397e-151	1.10925252216242e-149
OPTN	2.32098663009098	6.19598856091191	6.52842252170287e-151	4.38287566118793e-149
NFKB2	2.03868418105182	6.45725827358544	5.35415669587336e-150	3.57350820877209e-148
ETV7	6.1222688044135	2.58022836399201	5.64061467105298e-150	3.7428101884144e-148
MAP3K8	3.92438477060219	4.06220062807838	4.24534893035353e-148	2.80070331457369e-146
NOCT	3.58046345664923	4.35144917032748	6.28069072093131e-148	4.11962776999937e-146
MXD1	3.41743114443837	4.63724232464174	4.13074980449656e-146	2.69395700106967e-144
HSH2D	2.63862526430202	4.00325485988567	1.96386913514006e-145	1.27350218405417e-143
IFI44L	2.42655637462609	6.29488276139902	1.73472425827892e-143	1.11855412201906e-141
SQLE	-1.29063763391284	6.76787363829565	5.7600817146865e-143	3.6932478994223e-141
ANKRD33B	2.48139476438788	5.96329694257996	1.36033509489328e-141	8.67346616648992e-140
NAV2	2.73326260116014	5.90644968325861	1.43072999157106e-141	9.07162299655581e-140
EGR1	2.20414270278003	7.12243888297951	1.18392747382397e-140	7.46528412085802e-139
CSRNP1	2.9081912492386	5.61516922555419	3.7256965020459e-139	2.3363392405412e-137
XBP1	1.17850690314828	7.37798387302717	6.76279852254212e-138	4.21769505670892e-136
FAM65B	6.24461028796831	1.62420326103652	6.82688812000219e-138	4.23452576704266e-136
CFTR	-1.39022157757985	7.77779910660113	1.17663452745454e-137	7.25888100639925e-136
MB21D2	2.7232424244129	5.00638389555945	1.62813673031005e-137	9.99028199087559e-136
CNP	1.21053879773593	7.43629762339008	8.71650034299528e-137	5.31986194730509e-135
CYP1A1	4.37381454213473	6.73472370166038	8.31245365673577e-136	5.04627838214496e-134
FNDC3A	1.99614391629901	6.59534662235032	3.17486082696607e-135	1.91717918614623e-133
CTSS	2.00757672242129	4.92581252823967	3.39782430736037e-135	2.04101941157389e-133
RELB	2.01597570954719	5.52781147311573	1.841749699257e-134	1.10051776532042e-132
MLKL	1.64250830471223	5.05584591275942	2.8246223215016e-134	1.67903200808843e-132
PGAP3	-1.10850536363575	8.44962278924035	7.07872554859053e-133	4.18598418062506e-131
FAP	7.97282949737749	0.692448180549683	1.36476462578654e-130	8.02889622376381e-129
IKZF3	2.57241374070035	4.78708069370778	1.52518348913138e-130	8.92662521100328e-129
PPM1K	3.27716170517398	3.9443711946856	1.64147323686614e-130	9.55823165936392e-129
KDM6A	2.12421124119543	5.64296950084665	7.03059125782595e-130	4.0731034530745e-128
CSF1	3.00342189666951	3.58534813940054	1.31287888955626e-129	7.56761957904325e-128
INHBA	2.82829368197225	4.75055980928788	4.97766197937169e-129	2.8547766919884e-127
SECTM1	4.56336665068626	1.83557178205494	9.79671055404932e-128	5.59049287766824e-126
BLZF1	1.52695063367934	5.48052667808092	1.01952439225909e-127	5.78897108898158e-126
CXCL2	3.06859129674131	5.1423913442431	2.71741978381127e-126	1.53534217785337e-124
OGFR	1.97069979792406	7.51044294576298	8.90510687425217e-126	5.00660023427783e-124
TRAF1	4.41069122524455	2.76268565297197	1.42158857341482e-124	7.95323058254086e-123
HIVEP2	2.41923846261959	5.79859599413722	1.10640999755428e-123	6.15973526931075e-122
ARL14	1.53497680225121	5.05719821341978	1.66648121413181e-123	9.23279130916814e-122
DHCR7	-1.35286927299874	7.50734500508689	2.30383070702403e-123	1.27022318160701e-121
TDRD7	2.0663928408238	5.03894499871975	4.43513201798047e-123	2.43356546736592e-121
C3	1.38098109936921	6.44990380847327	7.53365348376689e-123	4.1139515411594e-121
PELI1	1.9659985917275	6.10449794761863	1.05981386111937e-122	5.75983599855016e-121
DNAJB4	3.00215071270034	4.74393839273705	1.60210560430726e-121	8.66579680661554e-120
ABHD2	-1.55049039385889	8.4988806143715	1.95833063812598e-120	1.05426545155339e-118
DHCR24	-1.11818142324859	9.19159808122001	6.54298838049766e-120	3.50587447824506e-118
NAMPT	1.16891538058067	8.19029143305271	8.24210529392179e-120	4.39566110838923e-118
IL15RA	2.6026535654954	3.82771880995777	3.60477383312146e-119	1.91354808174024e-117
TSPAN8	-1.47139373219115	6.69983539376277	4.02190394071502e-119	2.12509211460095e-117
LY6E	1.66453379525985	7.53708583490269	4.25081890832161e-118	2.23569567745044e-116
HDAC9	1.35674632477318	6.65362108968137	5.95061226733674e-116	3.11491106079589e-114
TLDC2	2.9134476034297	3.61204768775391	5.97709210824761e-116	3.11491106079589e-114
PIK3R3	1.9098890513305	4.94040006198273	6.76410815373055e-116	3.50903483447849e-114
LGMN	1.62234636195792	6.00850611823682	6.18305463099499e-115	3.1930860861333e-113
VAT1	-1.37784155447886	7.53798053608932	3.33706595468278e-114	1.71558260093669e-112
SERPINA3	-1.07906389659757	9.10527833134513	9.23379099871576e-114	4.72579626315439e-112
BRD2	1.14128790885024	8.54064563433873	1.67068067069606e-113	8.51226718511343e-112
GPT2	1.32321449095181	5.37411862336703	8.98415530543436e-113	4.55716286670766e-111
UPK1B	-1.96392682951557	4.35309295820945	4.5658986726252e-112	2.30577882967573e-110
TAPBP	1.0700339082046	7.49361559757112	1.53410027861834e-110	7.71307774443663e-109
GBP5	9.83993130900596	1.39738205022964	1.92797397207464e-110	9.65086269442451e-109
EHD4	1.35487533384597	6.75137015037434	2.99070473515531e-110	1.49052022455579e-108
N4BP1	1.52003692458865	5.89291684494385	3.12964270796839e-110	1.55298314026275e-108
IL32	2.34335088031065	6.32397606695841	4.14275765220281e-110	2.04680922444116e-108
TRIM31	1.72630751526406	4.24095147074929	1.01154436669104e-108	4.97618786941586e-107
TRIM14	1.59305092205176	5.71047258062715	1.11833559977705e-107	5.47792454946589e-106
AFAP1	1.86057536880811	5.85173153910594	2.27036891461045e-107	1.10733847959184e-105
HCG4B	4.98629680721956	1.692720979617	1.8071232453501e-106	8.77646706348113e-105
PTX3	4.2117583356125	4.0081890472026	3.28607425846757e-106	1.58915108101231e-104
XRN1	2.22466449060523	6.37385624474113	1.65794846482326e-105	7.98403621477971e-104
TRIM25	1.04498958825582	7.36837532148044	2.94999783503047e-105	1.41463551643709e-103
HLA-H	2.230084116277	6.95555290067088	3.2438474868349e-105	1.54903896934087e-103
RNF19B	1.92945019753183	4.97980977375868	3.25862098751371e-105	1.54961005543725e-103
IFI6	2.45761501059679	8.35675869065395	2.57330140567468e-104	1.21863439597366e-102
THEMIS2	3.61708324860591	2.24844884922154	2.593374801332e-104	1.22306556229761e-102
ADRB2	1.97205787321493	3.85469102988903	3.59360256937182e-104	1.68781012856957e-102
CXorf49B	6.08296951206551	1.53357879607643	4.10138617293738e-104	1.91840657343174e-102
CXorf49	6.08297199307933	1.53357879607643	4.20294334027119e-104	1.95788540173531e-102
MFSD14A	1.74127095340623	5.86467219874066	1.02277777550675e-103	4.7451068096986e-102
SLC12A7	1.22049541891651	6.66222224153457	1.15535438607302e-103	5.33848567135681e-102
UBD	1.83007108358578	4.53761179547939	2.18755274360213e-103	1.00671530091658e-101
TRAFD1	1.81928546702302	5.17310832170987	5.10384042794411e-103	2.33936268289663e-101
EREG	1.18387450195092	9.3515187174959	6.61016953675215e-103	3.01767459691809e-101
TRIM38	1.90173376476199	5.31616153362259	9.06075939545659e-103	4.11993812670701e-101
LIF	1.16316608359516	7.08501596631713	8.78107610055923e-102	3.97692148951121e-100
TYMP	2.97101859270455	3.82070523935337	9.55979299827082e-102	4.31248685728319e-100
TRIM56	1.58327220009804	6.20930078812525	3.5059870394081e-101	1.57534764097499e-99
FOS	2.92438973176642	4.25159280157352	1.15317595956295e-99	5.16125381431059e-98
CCNL1	1.45284379862854	7.2259696162459	2.87052867717079e-99	1.27973999189649e-97
TM4SF4	-1.11932069726164	6.90046990162499	3.03827975648762e-99	1.34925629808534e-97
FZD4	2.88082187955582	4.31214195721904	4.21924455657881e-99	1.8664433381486e-97
IL4I1	2.58386046151156	3.0132452656427	1.63724592043259e-98	7.21462845169776e-97
CREB5	3.37775192420662	4.42310132134417	7.1574401598945e-97	3.14184094403369e-95
LGALS3BP	1.18578479640867	8.33326746005217	3.83599852651115e-96	1.67740425988781e-94
SEC16B	3.18812430909363	2.28442945237342	4.16584996938096e-96	1.81468876719637e-94
TAPBPL	2.46609937028418	3.26885859035757	6.40370929807392e-96	2.77891765090942e-94
ALCAM	-1.19998159766623	7.85763051388122	1.6281276956542e-95	7.03856870852326e-94
CPEB3	3.3334588715714	2.88990478070218	8.32699337520765e-95	3.58626322231113e-93
PTGS2	2.2230440092938	5.83529092872653	1.31502729270562e-94	5.64225807956738e-93
C4B_2	2.97769750959217	4.93905778126377	1.3713517203128e-94	5.85846967118103e-93
C4B	2.97769748095297	4.93905778126377	1.37568550939851e-94	5.85846967118103e-93
ICAM1	1.85494228045731	6.24806797588572	2.85357222094456e-94	1.21069961924313e-92
CMTR1	1.23353130783186	6.27564337937369	6.02872597320486e-94	2.54836479748841e-92
SP140L	1.65988570792198	5.25106341137309	7.23431551390525e-94	3.04668793211072e-92
SERPINB2	3.55627800122322	4.32652488987241	9.10899792489093e-94	3.82209534252868e-92
C4A	2.97703033534116	3.8938548402975	1.56693187568719e-92	6.55069358872449e-91
SREBF2	-0.928044339077531	7.23093167646599	5.93259503730577e-92	2.4711206992982e-90
SPRY2	2.30986701822175	4.89702758344864	8.65089889731493e-92	3.59028033145656e-90
CYLD	2.33832123524806	5.11839723419185	1.21331920774232e-91	5.01725076737794e-90
GDF15	2.26662443745772	5.92311731736868	1.46150205447868e-91	6.02170503529427e-90
TOP2A	-1.15856919356273	9.63300215173524	2.67652612905389e-91	1.09881988168676e-89
CYP2J2	1.99905091365046	3.77928873889812	3.80265176317339e-91	1.55554353308595e-89
UNC93B1	1.37542747097621	6.04323511397227	4.48897822456899e-91	1.8297395884645e-89
CFH	2.21028247828151	3.45845227257669	4.56942610076043e-91	1.85590249423412e-89
TLR3	2.90904323866869	2.38870832063934	4.8990127503013e-91	1.98271037302088e-89
ATP9A	-1.25534362610953	7.43389102408452	1.03766115052997e-90	4.18474442084756e-89
BTN3A1	2.02590080596898	4.51626562876931	1.58980137081819e-90	6.38887431167184e-89
DUSP5	1.71736138993578	5.68763129712778	1.89267756392952e-90	7.57934352179916e-89
TNFSF15	2.56773736473	2.49684887568382	2.00060623636487e-90	7.98353810336793e-89
TPX2	-0.728177212299323	8.38434472363909	8.81257411496956e-90	3.50445673777518e-88
SDC4	1.23959976057893	8.22585688763829	2.63343525844232e-89	1.04359015988202e-87
GLCCI1	3.21562501219404	4.28319646623948	1.2161743990796e-88	4.80283682238598e-87
LGALS4	-1.40351230740722	6.44685501565746	1.65062362672654e-88	6.49605774201034e-87
CTSD	-0.780407330557804	9.05204727874583	1.84572856210928e-88	7.23893473517294e-87
FRS2	1.52044407683488	5.2710504233677	2.92173093588682e-88	1.14197654696152e-86
ATF4	1.12768522250318	8.14540121879047	4.45699580542674e-88	1.73609874154728e-86
ARL5B	1.81549312527961	6.4656115035019	4.83069592887366e-87	1.87526301483793e-85
RSRC2	1.43217560210694	6.59745944740716	6.62690624655163e-87	2.56382647430148e-85
ACACA	-1.06533540598098	7.57016430659194	8.45512668308076e-87	3.26007975790543e-85
IFNL4	11.2509874208677	1.39748371280445	3.62293445194751e-86	1.39220710101269e-84
PSMB10	1.66445106165877	4.97689784330382	4.77339872330357e-86	1.82814763855918e-84
SOCS1	3.90080746549545	1.5731342095033	4.99601147939989e-86	1.90700598710338e-84
NEURL3	2.81481254394704	4.04422793550777	1.12789431387378e-85	4.29088593474716e-84
ITGB6	-1.10803290309597	6.27801849462511	1.65420946803363e-85	6.27225669723184e-84
PRR11	-1.36447345017898	6.27564744058416	5.01214105562826e-85	1.89415781019488e-83
PSME1	1.10188437141057	6.58847345527513	7.50458124291139e-85	2.82672560149662e-83
ACKR4	4.01927728126862	1.75482570627525	1.02091144525208e-84	3.83278365942828e-83
TGFBI	-1.16470188455322	7.03958441540583	1.36203749064161e-84	5.096699633014e-83
TNF	6.96515684974024	2.81622456911278	3.86949270115628e-84	1.44321961432342e-82
PERP	-1.01939371686613	8.86597627405806	5.12582988230504e-84	1.90557317416115e-82
CEBPB	1.44976567297825	6.3434921137692	6.51984716898051e-84	2.4159420694667e-82
LOC100294362	2.29753044931874	3.60721040109073	1.20306094430443e-83	4.44353869169788e-82
AHNAK	-1.69831062768194	10.4189919655986	1.76707763958682e-83	6.50569583890465e-82
ERBB2	-0.540518129869397	11.2515194540802	2.2253920818969e-83	8.16668804845317e-82
FDFT1	-1.16805442090236	6.96066098890244	4.05153666292269e-83	1.48205730557489e-81
SAT1	1.60533916093571	7.25941249539448	2.53265498543316e-82	9.23488541493568e-81
SLC12A2	-0.855079374631175	9.01389382797931	3.10814620041709e-82	1.12972205685861e-80
TNFSF13B	4.91687758122821	1.21591696573101	7.26286470208976e-82	2.63146269349049e-80
FDPS	-1.14572813324417	7.15067017316579	1.97898647507131e-81	7.14752298733825e-80
TMBIM6	-0.859495261686416	9.61011799227503	2.9201255308192e-81	1.05133730861954e-79
WTAP	1.03682182036071	6.80901936047151	3.70917098660456e-81	1.33121913428044e-79
SPAG9	1.09762410255516	7.3906365336787	4.97025135164798e-81	1.77822817167268e-79
PFKFB3	-0.881258955276899	7.42548532382859	9.23267850415005e-81	3.29289249274577e-79
RCAN1	1.94428556750613	5.50694787185867	1.12317023742435e-80	3.99337754508539e-79
IGFBP4	1.90135578092065	7.23017387535778	1.00706516091368e-79	3.56945176444344e-78
PLXNA2	1.91611981154331	3.87789060655918	2.62838821406625e-79	9.28724293719447e-78
TNFAIP2	1.9390208931506	6.58612668316162	2.96635571531715e-79	1.04490795613934e-77
ERAP1	1.04619474268505	6.33648721817597	4.23880480611282e-79	1.48853782314356e-77
ANXA4	-0.854507918083658	9.26619211770409	5.83047576313951e-79	2.0412030639482e-77
CRYZ	-1.18502121247111	6.8191985631749	2.92033499279355e-78	1.01925942730131e-76
GPBP1	1.23050375347944	7.04960882385028	3.26554217193118e-78	1.13626929293447e-76
PCGF5	1.73605852342185	4.83232577856895	7.69955669754481e-78	2.67097387808751e-76
NCAPD2	-1.07352842550115	7.47332552465462	8.07873991810006e-78	2.79401996015988e-76
HMGB1	-0.737555529760404	9.09992301415601	8.98406686813901e-78	3.0977388267695e-76
SLC25A28	2.1262177679391	3.809882506868	1.62427946633585e-77	5.58370528593104e-76
B4GALT5	1.269387343847	7.72324396335098	1.9776864976181e-77	6.77817897817277e-76
BTC	1.58801892579064	3.69545129412634	2.36697035416764e-77	8.08809360841776e-76
NAPA	1.15277298072882	6.61918942126987	2.46550852135981e-77	8.39965634456106e-76
ARRDC4	1.40537947764886	4.78844011499389	3.04485226063007e-77	1.03425294198128e-75
HLA-DQB1	1.21513986691621	4.62061103419131	3.80488786564808e-77	1.28858116352052e-75
GNB4	1.29951254098622	5.69065899550925	6.47317875482554e-77	2.18575115765751e-75
CMTM4	-1.38503352984875	7.37864448596844	7.14457754830663e-77	2.4053411079299e-75
DHFR	-1.14641619424284	7.42420393464282	1.01102888162214e-76	3.3937860664569e-75
TOP1	0.74508034762794	8.52911866408931	2.09298864797219e-76	7.00506728425414e-75
DUOX1	3.88096147902449	1.74980884279427	2.24273213286285e-76	7.48429878139289e-75
PSAP	-0.699735439655696	9.62940819259682	3.02333999638363e-76	1.00598773698911e-74
