gene	logFC_DE_Caco2_S1.24h_mock.24h	logCPM	PValue	FDR
MPC2	-0.821740145558929	6.09309736680795	1.69233435578362e-32	4.29213600056855e-30
IER2	1.01114367626403	6.97861842668845	2.57298417853426e-32	6.38379748469815e-30
AKAP12	1.53285915341085	7.4854813340291	4.69872645208168e-32	1.14099074462996e-29
SLC26A2	-0.857615548757897	6.8016738592576	2.21688409609654e-31	5.27110378932288e-29
ANXA4	-0.857315225742861	9.26619211770409	3.69381184503265e-31	8.60356624231787e-29
FOSL1	1.36543140308545	6.97008180407746	1.06491922635706e-30	2.43078462608263e-28
SEPHS2	-0.824028710232466	6.47725797612199	3.10920976802375e-30	6.95792374165786e-28
ALDH1A1	-0.852594034966457	5.87687451736148	1.77660584609989e-29	3.89930817721885e-27
GREM1	0.650553263424898	8.16556719613912	1.9906843651552e-29	4.28673219990873e-27
MFGE8	-0.643260541126318	6.97594818458708	1.1055446894809e-28	2.33658917426769e-26
RRBP1	-0.592204957369373	7.9594977692851	5.79012278787273e-28	1.20150311596348e-25
MXD1	1.76444373250377	4.63724232464174	5.91711602357585e-28	1.20592937816198e-25
UGT1A6	-0.56294062172597	8.22276928394637	1.08748811953021e-27	2.17745647512251e-25
MAFG	0.941320034186579	6.07282403232333	1.123288679615e-27	2.21036098283552e-25
SMIM14	-1.01866095068404	5.18037505879603	1.73196644894534e-27	3.35032764098528e-25
PARD6B	1.17611208053616	6.13037625880625	2.13383151979865e-27	4.05890318924367e-25
PLK2	1.18547179099358	6.47183463782445	4.92192255070408e-27	9.2088364051124e-25
GEM	1.61431901401749	3.61372287683773	5.81969873800825e-27	1.07129389833691e-24
SERPINA1	-0.586202604551291	8.80331264236958	6.66251229641249e-27	1.20697226728501e-24
C1QTNF3-AMACR	-0.808184302002492	5.21008022269682	1.01523003119869e-26	1.81044067907354e-24
APOA1	-0.722609922001467	6.60167129112924	1.51860554110796e-26	2.66643769856386e-24
PER1	2.04336141773756	3.9277537036724	1.57356312973909e-26	2.72107212116852e-24
USH1C	-0.770935432652068	5.53714081126734	2.78565887129175e-26	4.74518279075414e-24
GPC3	-0.581746484080147	7.28560519238984	3.05483078833125e-26	5.12717408635655e-24
IDH1	-0.634130532340176	7.0715706078196	3.95043326883634e-26	6.53424563727959e-24
APOB	-1.11716918521344	7.54910139547998	5.35135644856912e-26	8.72500444964562e-24
ITGA2	1.00122123165067	7.9320144546493	6.52448880865062e-26	1.04843209227631e-23
PDZK1P1	-0.930799069392303	5.274277830707	6.6141339388324e-26	1.04843209227631e-23
DHRS2	2.41531604513554	2.03342503138718	2.31664590636589e-25	3.62190133278821e-23
CYLD	1.52268408251674	5.11839723419185	2.57493147029248e-25	3.97130984735785e-23
CYP1A1	1.36815917282364	6.73472370166038	2.62617255793511e-25	3.99633432049511e-23
UGDH	-0.514414156697672	7.38646835969401	4.95897667721625e-25	7.44694747593014e-23
ETS1	1.36852660734559	6.65759786282931	5.0463167249949e-25	7.47968997173595e-23
GLUL	-0.477372368659573	7.43717490295132	6.18130772802914e-25	9.04452116666622e-23
CCND1	0.631573768831225	9.3023609644482	8.54477500692713e-25	1.2344495842286e-22
UGT1A1	-0.582159807905126	7.79231893179502	4.71907037867663e-24	6.73234377897955e-22
SLC40A1	-0.844663205828009	5.81607402057956	5.36503342957711e-24	7.55939833725476e-22
SLCO2B1	-0.815910591269061	5.19080651303737	1.50880004063337e-23	2.09999205655471e-21
UGT1A3	-0.582472946444076	7.77193956005717	1.67929804349276e-23	2.30913597233529e-21
IER5	0.849649675559539	5.4838734738271	2.73351202229123e-23	3.71399675123926e-21
UGT1A5	-0.579389300586727	7.77051364115168	2.90474403756964e-23	3.90021690597438e-21
UGT1A7	-0.578989537005398	7.76999062969448	2.97458393792231e-23	3.94754959110551e-21
UGT1A9	-0.57364316236552	7.77922106124322	3.4070109671961e-23	4.46945013432289e-21
ZC3H12A	1.74921244524516	5.2754053221417	3.6913984091926e-23	4.75371008874785e-21
ZNF292	1.20977910163007	6.31290361940947	3.70700252254936e-23	4.75371008874785e-21
UGT1A4	-0.577947750291161	7.77041888576766	3.84516409266257e-23	4.87609530995087e-21
TM4SF1	0.635738390378041	9.95646780467584	4.05438690561861e-23	5.0849140388819e-21
DUSP8	1.66343984438726	4.71016366984197	5.3600858181328e-23	6.64941950460323e-21
TPD52L1	-0.719836183053786	5.8605645744435	5.95412503178876e-23	7.30692784815109e-21
UGT1A8	-0.579126984874737	7.77698899728867	6.16852571123423e-23	7.48950893003365e-21
IGF2	-0.735124400693698	8.78102127978382	7.32228567816766e-23	8.79676278367658e-21
SUCO	0.773277964222091	6.82322886241036	8.41647826122953e-23	1.00059652495221e-20
INS-IGF2	-0.738681409501721	8.71022432544053	8.68624524641802e-23	1.0167734439779e-20
CTSV	-0.692611323376257	6.06948666462535	8.73072789887269e-23	1.0167734439779e-20
CEBPA	-0.90094057615957	5.94271448758032	1.16294442698567e-22	1.34067522678661e-20
TSPAN8	-0.963560538195554	6.69983539376277	1.67613437710473e-22	1.91297216458963e-20
AGR2	-0.440258754308546	8.51102569689851	2.36554571172982e-22	2.6730666542547e-20
UBASH3B	0.807578293341606	6.82605629309722	5.57431256881841e-22	6.23721856352201e-20
FGB	-0.720244059597752	6.22325919897109	6.5609191136545e-22	7.26988056739212e-20
BIRC3	1.02514607769609	6.82462137215071	7.30191243032927e-22	8.01314678532192e-20
TNFRSF10B	0.760419590091431	7.48733862703769	7.55218090673194e-22	8.2088610179554e-20
CSRNP1	1.23609945786807	5.61516922555419	1.31868216045661e-21	1.41982259408408e-19
MAFF	1.48301721580887	5.37145890366784	1.44468406451999e-21	1.54095132975389e-19
TNFAIP3	1.01629746504744	7.2496001853199	1.56675088954102e-21	1.65567850947516e-19
FABP1	-0.809811383805412	5.75571616084716	1.68227235932804e-21	1.76144719605605e-19
C2orf72	-0.604346118703144	6.398023408633	2.62321815980716e-21	2.72170807798901e-19
FTH1	-0.410528204115463	9.59060873470247	3.39074884454055e-21	3.48636185249922e-19
ERRFI1	0.931036657345166	6.34348998540122	3.69005426226206e-21	3.76023118707116e-19
UGT1A10	-0.574348376484999	7.91526624971209	4.75291371817923e-21	4.80044285536102e-19
PDZK1	-0.882616283534135	4.97248632300815	4.81551452389687e-21	4.82100590010834e-19
AKR1C3	-1.33741253502625	5.80521257343958	6.10285937983059e-21	6.05668992191361e-19
PSAP	-0.380533627010312	9.62940819259682	8.51758027565637e-21	8.38027100741949e-19
CKB	-0.570321196308595	7.55444279373211	1.02841450398608e-20	1.00318758410198e-18
DHCR24	-0.454215350867418	9.19159808122001	1.14436290999689e-20	1.1068316857453e-18
ATP5A1	-0.43385089155748	8.75167705681224	1.21371862350106e-20	1.16404795378299e-18
LIF	1.12759513666734	7.08501596631713	1.50756656326285e-20	1.43382143220991e-18
CXCL2	2.71286028022563	5.1423913442431	1.67524583957085e-20	1.58013064190266e-18
SQSTM1	0.522257669758675	9.831134513368	2.04309443057499e-20	1.91129809312725e-18
ITGA6	0.676753501815439	8.78181466998753	2.25031731217289e-20	2.08803833201864e-18
ERBB3	-0.967120448421067	6.13715169157032	2.35845000207832e-20	2.17072498981612e-18
FOS	1.77495274644946	4.25159280157352	2.8389871576162e-20	2.59210883438989e-18
AGT	-0.781737644993642	5.61413035058033	7.30811777131187e-20	6.61964667650654e-18
APLP2	-0.303514534806026	9.73259245280332	7.7920779571822e-20	7.00243982089137e-18
GSTA2	-1.32669271975679	4.3211100661219	1.21255014524116e-19	1.08115896934667e-17
BHLHE41	2.25444018601134	3.18755188609715	1.28306326129867e-19	1.13516286831021e-17
FGFR2	-0.94892454256572	5.52400014745961	1.51718743878478e-19	1.33197386452698e-17
KLF10	1.03816775530872	6.03066775316258	2.47631613500802e-19	2.15741954571348e-17
EMP1	1.07444541276462	6.53217588531406	3.0109047936791e-19	2.60329215229239e-17
SFN	0.627268006151318	6.93307886491525	3.91046610411175e-19	3.35565034934041e-17
NDRG1	-1.32208565539953	4.43659695381669	4.30947348792272e-19	3.67044932221358e-17
PRDM4	0.859441985923515	5.10508881477014	4.6297110305569e-19	3.91399199938859e-17
SLC25A25	1.0494304548811	5.29596209274257	4.92783229195877e-19	4.13539337853864e-17
PIM3	0.924414058280282	6.96850508621464	7.40325519768611e-19	6.1673979249045e-17
FLCN	0.848426688889713	4.8379564497125	7.51365021118115e-19	6.19416697244994e-17
NR2F2	-0.553148415915976	7.432366916065	7.5439341905769e-19	6.19416697244994e-17
ARRB1	-0.905613572891753	4.7696495664791	1.48701902289869e-18	1.21223915059591e-16
QPRT	-0.695141912321424	5.9811144819094	1.74536416844019e-18	1.41275469889418e-16
AK4	-0.420026508540598	7.1678375991307	2.94048236112936e-18	2.36336092870207e-16
ALB	-1.18421821374479	4.95963680037316	3.11350484910576e-18	2.48492523376532e-16
SLC2A1	0.477209247037767	9.20536132402387	3.5398231982341e-18	2.78873339117439e-16
ID1	0.891411331157962	6.64750043339499	3.54303287234107e-18	2.78873339117439e-16
HIVEP1	1.13648272507859	4.75229906677379	4.42146597905719e-18	3.4563144670534e-16
SETX	0.814485050950989	6.51519696397963	5.28645873275139e-18	4.10437779026473e-16
YOD1	0.875179553660614	5.79865669814206	7.24328583401573e-18	5.58565008267713e-16
ARHGAP29	0.593582907859652	7.7955656653071	1.02467053350202e-17	7.84870120728762e-16
S100A10	-0.330009277182696	8.95524955022365	1.33179861533072e-17	1.01332117311797e-15
SOCS2	0.558766369745548	6.06093479982758	1.34766452992262e-17	1.0186023364243e-15
ZFP36	1.17612947441485	5.98810623011272	1.42802302540616e-17	1.06705744922887e-15
TF	-1.19077124621178	4.38924734359808	1.43047217849836e-17	1.06705744922887e-15
FAM32A	-0.475789818559432	6.71812187240468	1.90894179726607e-17	1.40364723482008e-15
HIST2H4B	2.45440752368056	2.71264143625596	1.91135524309843e-17	1.40364723482008e-15
HIST2H4A	2.45441063112351	2.71264143625596	1.91859255788953e-17	1.40364723482008e-15
PCYOX1	-0.501686056901955	6.83902268394654	1.93699397397154e-17	1.40808358120619e-15
ZBTB10	1.25158256945683	4.67867558723001	2.22586727511665e-17	1.60783691208268e-15
LGALS3	-0.524602414070317	8.84189552432145	2.55086760912172e-17	1.83100956118907e-15
GSTP1	-0.435001639842196	9.37037695535089	2.84276106613956e-17	2.02777700299068e-15
RBP4	-0.500409055526774	7.46689035627259	4.37769259486664e-17	3.10326742765298e-15
TRAF1	2.25874472490511	2.76268565297197	4.52714070396779e-17	3.18939857125829e-15
SORL1	-0.676629918666641	5.52510124433376	4.69951570134422e-17	3.29052593248108e-15
CDX2	-0.786787116487676	4.59566108819065	5.06128897497145e-17	3.52222506532617e-15
REEP6	-1.03055293143364	4.50405765863841	5.28449292208537e-17	3.65526774059154e-15
CLK1	0.760741444253816	6.11034608179706	6.95789969274946e-17	4.78376561405721e-15
GJB1	-1.58864266220915	4.87113235296273	7.20918797210207e-17	4.92685403147311e-15
PHGDH	-0.628238592988149	6.05439322279149	7.50272391286988e-17	5.09693976295142e-15
TMEM45B	-0.942601484877628	5.15758414466493	8.36786993148004e-17	5.6510354750285e-15
GALNT6	-0.551484978310164	5.8033158222903	8.62560914122759e-17	5.79082806640179e-15
SOCS3	1.36512963885523	5.14576239992217	1.27431138869087e-16	8.50509700533855e-15
GULP1	0.534078438996634	6.95681718721443	1.35238187394309e-16	8.97368274843751e-15
SLC39A14	-0.4694670597909	7.93759846282001	1.49371800681539e-16	9.85422174091563e-15
MYC	0.560369653170329	7.98013657666533	1.93463080680987e-16	1.2689621493173e-14
GLUD1	-0.451070474946487	7.47536017319033	2.04194378767072e-16	1.33169739706777e-14
FAM214A	1.85367988136496	2.80349624031784	2.16878276011203e-16	1.40638168415674e-14
NEURL3	1.93088457542194	4.04422793550777	2.23423931235856e-16	1.44064255773719e-14
ZSWIM4	1.73390475491101	2.93611782050273	2.28238722799637e-16	1.4634205299507e-14
ST14	-0.387631379000088	8.31477241256832	2.31922852266417e-16	1.4787349234171e-14
EDN1	0.690948200286798	5.9307132017368	2.57547329830132e-16	1.63299315297295e-14
AP1M1	-0.437327939263698	6.7757854899928	4.05426134289505e-16	2.55294027164685e-14
HEPH	-0.806153516408896	5.95252776399796	4.0711042621548e-16	2.55294027164685e-14
ITGA3	1.0368833584937	9.09124046595354	5.47353553697979e-16	3.41363175319947e-14
CALM1	-0.379901018071865	8.40700255683331	6.43148180571553e-16	3.98926640481692e-14
TUBB3	0.504715302625897	7.21103849436953	6.73249992199465e-16	4.15340657349864e-14
ALDH18A1	-0.448369720481369	7.2639374345374	8.14954036994459e-16	5.00057549689127e-14
NABP1	0.59797396174792	6.18626563680669	8.29550378493631e-16	5.06291896777958e-14
VIM	0.831981614162281	8.30875362224898	1.02168945672614e-15	6.20241583490184e-14
DUSP4	1.60700424335454	6.56715897584802	1.12539940729317e-15	6.79586425155391e-14
COL5A2	-0.529676815824895	6.21478178364074	1.2546410533576e-15	7.53643070630013e-14
GSTA1	-1.21786408468354	4.6767417251595	1.40199218468619e-15	8.37745382399137e-14
TSPYL2	1.1235196863882	4.76485053531443	1.71459498134001e-15	1.01920169385592e-13
MYH10	-0.464694707141018	6.95011230479961	1.82950301888215e-15	1.08187139660632e-13
TSPAN13	-0.414767279721561	7.84339239389839	1.92373623197815e-15	1.13173204203952e-13
ELK3	1.81576047656616	4.57444407774079	2.90832722280228e-15	1.70219172276115e-13
TSC22D2	0.741879695114571	6.45235164294919	3.16558948220522e-15	1.8433098347147e-13
MCL1	0.397402245113995	8.66829825932027	4.77661737803695e-15	2.7672859967277e-13
CYR61	0.439134070114804	8.09496031398796	4.88549706892166e-15	2.81606959836378e-13
KREMEN1	-0.673392856961206	5.0901435636407	5.87120061779174e-15	3.36723681662599e-13
VIL1	-0.459221150124208	7.30248191287167	6.84393894018911e-15	3.90549375621892e-13
DDIT4	1.13113429829901	6.18520989657228	7.09914565785324e-15	4.03097260662085e-13
FOXA1	-0.585697790900643	6.24942917645076	7.37578390374056e-15	4.16731790561342e-13
HNF4A	-0.614480043941479	7.29873632090155	8.03468215003238e-15	4.51723287577929e-13
ODC1	0.363395820203758	9.29724524892037	9.85416421696181e-15	5.5130184415777e-13
MAVS	-0.482777072442186	6.98425717303699	1.03495006865916e-14	5.76189518712537e-13
HACD3	-0.441507843098102	7.86668974478807	1.82206334442168e-14	1.00947616261576e-12
KIF20A	-0.393835247085257	6.51650294889088	1.90555584600441e-14	1.05063327876562e-12
PPP1R15B	0.614653268479172	6.60102956384964	2.07640182108723e-14	1.13932567231099e-12
KIAA1147	-0.566288177776231	6.03602651777097	2.55144190811498e-14	1.39328260752709e-12
CADM1	-0.511921968636313	5.56098686257986	2.97083980661674e-14	1.61458070061509e-12
CFTR	-0.69796846221355	7.77779910660113	3.96378671826403e-14	2.14401411448092e-12
DPP4	-0.543321466719921	7.29149499300897	4.15059440254673e-14	2.23446858095594e-12
GANAB	-0.319288316519197	8.89931242471282	4.35933770813634e-14	2.33582728934085e-12
SEMA4G	-0.890211524395349	4.67655472485588	4.42764652522668e-14	2.36134251366411e-12
NR1D1	1.59356373629282	4.86541888982602	4.91329503394421e-14	2.60815982429792e-12
PHLDA2	1.01782673356607	6.53027165395125	4.99218759056437e-14	2.63777023014404e-12
ZNF627	1.18630150773422	3.9606057460873	5.71024978399025e-14	3.00327561219727e-12
PLAU	1.47423975246192	8.60639682684326	5.85468024993435e-14	3.06511310516059e-12
CTSH	-0.56195656193966	6.79082207532834	6.03025456450672e-14	3.14261622578608e-12
NCAPD2	-0.41191808184599	7.47332552465462	7.02111932148037e-14	3.64236521891161e-12
ACAA2	-0.531353392711818	6.43955654902626	7.19215429935397e-14	3.71421072482022e-12
GPCPD1	1.144733047567	4.24921517530107	8.4467286038064e-14	4.34245556555146e-12
COPB2	-0.397691811435698	8.03574782951487	8.55232833710011e-14	4.37702795118043e-12
TFEC	-1.07867308606212	5.17669256276226	8.92664432563599e-14	4.54820498609301e-12
RELB	0.936915738468357	5.52781147311573	9.1757767677407e-14	4.65436178889887e-12
DDAH1	-0.33699298029004	7.57808314245961	9.88353854445062e-14	4.99118696494757e-12
TMBIM6	-0.326522074207682	9.61011799227503	1.02858325044159e-13	5.17146283581051e-12
SEPW1	1.05165045468969	6.19238442744006	1.05007048610319e-13	5.25633967451567e-12
AMOT	-0.708845110035092	4.72327403745986	1.24205206592056e-13	6.19019223945473e-12
SCD	-0.318147380762972	8.98848344498334	1.33972097427851e-13	6.647928469322e-12
ZNF608	1.26832896171847	3.36934765593643	1.41428527908113e-13	6.98754887019606e-12
KIFC3	0.525000062640297	6.54682297211178	1.79645062310178e-13	8.83745300062958e-12
GADD45A	0.61285596483872	6.29360024860433	2.1377993951298e-13	1.0471546994256e-11
LDLR	0.544663037064129	7.74600557674161	2.22937828367251e-13	1.08734591245959e-11
MAGED1	-0.555382763461048	6.70860620548129	2.57196623854781e-13	1.24910002895941e-11
SPRY4	1.26582532021017	5.01641990020459	3.03538032689033e-13	1.46791507079658e-11
ECH1	-0.591848742358074	6.68900807152788	3.23904513661703e-13	1.55979840270929e-11
LCA5	0.869311701537667	5.00155489407778	3.34546472647492e-13	1.60427684551506e-11
SLC9A3R1	-0.511941921069258	7.11331730861622	3.67917865166111e-13	1.7569232615652e-11
GLYCTK	-0.833147688621999	4.46539658522474	4.15612264584174e-13	1.97640948987466e-11
TECR	-0.442520767326501	6.7075235844052	4.22023777252706e-13	1.99068792258164e-11
VPS35	-0.408240546630738	7.55341582551449	4.22103283330199e-13	1.99068792258164e-11
UGT2A3	-0.894874641440593	4.30943120130205	4.44303613796419e-13	2.08676425689651e-11
FAM46A	0.674395456642395	6.72459169365531	5.10654426446153e-13	2.38856515124178e-11
KIAA1161	-0.92874241906299	4.974215413425	5.41993592098965e-13	2.52480525168387e-11
MUC13	1.05328977788563	4.81976109029507	5.55018047245028e-13	2.5749678752876e-11
TNFRSF12A	0.651033854412396	7.64211099122168	5.75130944401852e-13	2.65747751759447e-11
GLG1	-0.372437279728548	7.47489657350552	6.32973990991255e-13	2.91295651579968e-11
FGFR4	-0.358142298325466	7.78414067406998	6.35825788235786e-13	2.91432920527511e-11
BCL10	0.764582281957623	5.62692932000319	6.58562564938985e-13	3.00646982145946e-11
GLDC	-0.394899934869244	6.56903816055048	6.88966374004808e-13	3.13273833725772e-11
CABLES2	-0.58683937090075	5.55457778841906	7.62806580032515e-13	3.45472678488535e-11
ZNF441	1.55392527627735	2.82812347758563	8.78303129414466e-13	3.96208443320447e-11
ESAM	0.982025146263692	4.1063466501655	8.96191787801705e-13	4.02686491109483e-11
SPATA2	0.688354867678785	5.30316613012121	9.18508042558954e-13	4.11095383910798e-11
ATP1A1	-0.359136939551403	9.67407276182381	1.16346488792099e-12	5.18696279915713e-11
BAG3	0.678521390941264	5.58170699446552	1.18650827055876e-12	5.26911240929461e-11
ZNF335	0.644040551291447	5.62156882659627	1.63278109100702e-12	7.22284131459809e-11
SERPINF2	-1.74824348233157	2.41988986180595	1.65926773682621e-12	7.31166898857048e-11
ZMYM3	-0.490218087970263	6.03002791209604	1.67817024989047e-12	7.36652194692304e-11
PLEKHG6	-0.759531109745195	4.84463616685004	1.71912075646483e-12	7.51736597453375e-11
PLA2G4C	4.71302161855458	1.42207049491707	1.85053318196348e-12	8.06112030753784e-11
TRAM2	-0.478335018076786	5.94978823115899	1.92566858982695e-12	8.35652304779277e-11
JMJD1C	0.769369824713324	7.09004698878287	2.03155329505934e-12	8.78262036231526e-11
TRIM8	0.554748152750049	5.93934577166718	2.07784368133717e-12	8.94884148494384e-11
SMLR1	-1.40104991753847	2.41340184749981	2.23447856531673e-12	9.58725709246611e-11
ZNF165	1.09483093604111	3.44482468620839	2.76519617885421e-12	1.18199190971023e-10
RHOB	0.640556939951122	7.70475532339021	2.8046829857155e-12	1.19439727298399e-10
PHLDA1	0.448939240883107	8.10689045027568	2.87126081457405e-12	1.21820444894921e-10
HGD	-0.871184331055499	4.38760749801117	2.99193202891501e-12	1.26470074985211e-10
SLC39A5	-0.890771381578718	4.09449806308837	3.28243453677816e-12	1.38237731986159e-10
SPRED1	0.719619252858726	5.62624394975228	3.31932398142289e-12	1.39277369852866e-10
REL	1.27906872486252	4.92492801920883	3.47025612568625e-12	1.45077044551125e-10
MXD4	-1.16147980782808	4.31820013546827	3.86183972561275e-12	1.60858309446782e-10
ALDH6A1	-1.10683575489768	3.64956070817563	4.03681728458636e-12	1.67535256978124e-10
DNAJB4	1.12526022776881	4.74393839273705	4.67639181679391e-12	1.93375579003873e-10
SLC1A3	-0.397109202202216	6.45634311808913	4.85934509430464e-12	2.00215543542595e-10
NIPSNAP1	-0.529247328350928	6.38137970589317	6.12318719751224e-12	2.51381062896429e-10
CHD2	0.699923995395519	7.2322427870931	6.55042767785273e-12	2.67957100671445e-10
FGA	-0.874566832363803	4.65990246179755	7.07842683534711e-12	2.88521733827916e-10
GTF2I	-0.329744926628663	8.16121430568638	7.15322997966195e-12	2.90533145045843e-10
AKR1C2	-0.955605559341678	5.19106769176453	8.02011086225207e-12	3.23365368052666e-10
SLC7A11	1.16301267960724	6.30385144668155	8.02653757509746e-12	3.23365368052666e-10
NAV3	0.979011111590714	4.57136970005348	8.04659287890627e-12	3.23365368052666e-10
GTF2IP4	-0.348308424694724	8.73400173224331	8.08427027359021e-12	3.23739567131526e-10
GTF2IP1	-0.348311478821222	8.73401104881844	8.21254178700095e-12	3.27726361591055e-10
CALM3	-0.381518654755952	8.08142271396601	8.30975689372225e-12	3.30450367345129e-10
BRD2	0.396125318058092	8.54064563433873	8.68612555317048e-12	3.44217885202551e-10
CYMP	-1.4206073442053	2.488754250925	9.61361380523082e-12	3.79654582557437e-10
DCUN1D3	0.832360187777111	4.49877100606503	9.65707682418813e-12	3.80055923429169e-10
HSPH1	0.405214512297732	8.57994190487921	9.87363818596213e-12	3.87243411052872e-10
LDHB	-0.29495963696922	10.2321608835307	1.06316712222299e-11	4.15545423490786e-10
KCNJ8	-0.589845853171384	5.58706830606272	1.18369711981986e-11	4.61076287662255e-10
CCNL1	0.663169659352165	7.2259696162459	1.24266931328305e-11	4.82400846003382e-10
AFAP1	0.787216060844005	5.85173153910594	1.32570898514920e-11	5.1289208974603e-10
ARL6IP1	-0.305990158657149	8.09822215128516	1.37372160588765e-11	5.29671779999855e-10
COL2A1	-0.482785032835664	6.16995163174212	1.56512772441476e-11	6.01441168981336e-10
SLC38A2	0.385321030045814	7.63704134080248	1.63983980494978e-11	6.28036634023216e-10
RBM47	-0.360771518323643	7.39664299128619	1.83223431598472e-11	6.99374255797111e-10
UGCG	0.574832283383912	7.03948931234881	2.09622490302189e-11	7.97473827272961e-10
TRAM1	-0.338491641259244	8.75591757183444	2.23709360459615e-11	8.46438560661457e-10
GPT2	-0.681541618688597	5.37411862336703	2.23976557714676e-11	8.46438560661457e-10
PAK1	-0.64473831093866	5.89575977976481	2.47876181370825e-11	9.3279463699093e-10
DCAF11	-0.655886370715342	5.37079549721039	2.48461902782128e-11	9.3279463699093e-10
TIPARP	0.943243644859923	7.71258619853733	2.49493172477728e-11	9.33595271307642e-10
AXL	0.635400183261019	7.27697584618264	2.50349439193936e-11	9.33737957359606e-10
HSD17B4	-0.429890673342738	7.26719768065004	2.71601980671252e-11	1.00970469231303e-09
CYP51A1	-0.323788471176343	7.58992547330797	2.84622688553041e-11	1.05467491703112e-09
EPHX2	-1.37866595706446	2.68568989743374	2.87176678552139e-11	1.06069496191442e-09
EREG	0.542215936742086	9.3515187174959	3.03138733845347e-11	1.11435236133743e-09
RRM1	-0.347783197887012	7.44949459481323	3.03656868812704e-11	1.11435236133743e-09
CSDE1	-0.29961929577231	8.8187520318395	3.77144024341387e-11	1.37959767622059e-09
GPRC5A	0.489043448829147	7.99292619697601	4.01147640834051e-11	1.46271502391023e-09
